Ahmedabad,Bangalore,Chennai,Coimbatore,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mumbai,Pune,CNG,Diesel,LPG,Petrol,Automatic,Manual,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Price
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2010,72000,1,26.6,998.0,58.16,1.75
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2015,41000,1,19.67,1582.0,126.2,12.5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2011,46000,1,18.2,1199.0,88.7,4.5
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2012,87000,1,20.77,1248.0,88.76,6.0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2013,40670,2,15.2,1968.0,140.8,17.74
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2012,75000,1,21.1,814.0,55.2,2.35
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2013,86999,1,23.08,1461.0,63.1,3.5
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2016,36000,1,11.36,2755.0,171.5,17.5
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2013,64430,1,20.54,1598.0,103.6,5.2
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2012,65932,2,22.3,1248.0,74.0,1.95
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2018,25692,1,21.56,1462.0,103.25,9.95
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2012,60000,1,16.8,1497.0,116.3,4.49
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2015,64424,1,25.2,1248.0,74.0,5.6
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2014,72000,1,12.7,2179.0,187.7,27.0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2012,85000,2,0.0,2179.0,115.0,17.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2014,110000,1,13.5,2477.0,175.56,15.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2016,58950,1,25.8,1498.0,98.6,5.4
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2017,25000,1,28.4,1248.0,74.0,5.99
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2014,77469,1,20.45,1461.0,83.8,6.34
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2014,78500,1,14.84,2143.0,167.62,28.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2014,32982,1,22.69,1995.0,190.0,18.55
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2015,55392,2,23.65,1248.0,88.5,8.25
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,55985,1,13.53,1984.0,177.01,23.5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2010,45807,1,18.5,1197.0,80.0,1.87
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2010,33000,1,14.4,1598.0,103.6,2.85
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2012,51920,1,16.8,1497.0,116.3,4.25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2012,54000,1,23.08,1461.0,63.1,4.25
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2013,54000,2,20.92,998.0,67.1,2.75
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2018,37430,1,17.5,1199.0,88.7,9.9
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2007,262000,4,12.8,2494.0,102.0,4.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2013,62000,1,19.01,1461.0,108.45,7.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2012,87615,1,14.53,1798.0,138.1,6.75
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2013,72000,2,11.18,2696.0,184.0,12.5
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2010,35000,1,12.4,2698.0,179.5,11.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2014,55431,2,16.09,1598.0,103.5,6.98
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2009,83816,2,14.0,1061.0,64.0,1.85
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2018,50075,1,24.3,1248.0,88.5,8.63
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2017,52000,1,18.15,1198.0,82.0,4.85
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2013,85000,1,11.74,2987.0,254.8,28.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2013,62000,1,22.07,1199.0,73.9,5.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2008,90000,2,19.7,796.0,46.3,1.25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2014,19698,1,25.4,624.0,37.5,1.53
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2017,22033,1,25.32,1198.0,77.0,5.58
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2014,35487,1,18.5,1197.0,82.9,4.74
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2014,46374,1,14.62,1999.0,149.92,8.85
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2016,52001,1,14.28,1798.0,138.03,10.11
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2008,58005,2,14.9,1991.0,112.2,4.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2012,70704,1,11.25,2694.0,163.7,10.95
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2014,75000,1,24.4,1120.0,71.0,3.85
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2012,75800,2,16.55,2498.0,105.0,5.5
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2015,13648,1,17.11,1968.0,174.33,21.43
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2014,52000,1,22.9,1248.0,74.0,4.25
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2014,53000,1,17.8,1248.0,75.0,3.3
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2013,65650,1,28.4,1248.0,74.0,3.85
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2015,54000,3,18.9,1197.0,82.0,3.6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,39000,1,15.04,1598.0,103.2,3.99
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2017,16542,1,25.17,799.0,53.3,3.3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2010,32000,1,20.36,1197.0,78.9,2.07
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2010,121812,1,13.29,1995.0,147.6,7.75
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2010,39300,1,18.2,998.0,67.1,2.25
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2017,22000,1,13.68,2393.0,147.8,16.5
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2010,72000,1,20.0,1399.0,68.0,2.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2015,58000,1,11.74,1796.0,186.0,26.7
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2011,65000,2,15.8,2148.0,170.0,10.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2016,178000,1,25.0,1396.0,69.0,2.5
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2012,65664,1,16.55,1968.0,140.0,13.5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2007,63000,2,16.4,1497.0,78.0,1.85
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2019,15369,1,0.0,1950.0,194.0,35.67
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2016,63000,1,24.52,1248.0,88.5,8.15
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2018,13000,1,22.1,1396.0,88.7,10.5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2008,73000,1,8.5,4806.0,500.0,14.5
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2015,55729,1,15.1,2179.0,140.0,9.65
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2012,45178,1,16.95,1197.0,78.9,3.48
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2015,56066,1,19.64,1461.0,108.5,6.92
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2016,37300,2,16.5,1198.0,86.8,6.46
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2014,56000,2,18.53,1968.0,187.74,29.5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2006,230000,3,12.4,1998.0,132.0,4.5
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2012,104000,1,12.8,2494.0,102.0,11.75
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2012,95100,1,22.9,1248.0,74.0,3.75
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2017,70000,1,17.57,1193.0,88.7,4.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2016,54944,1,18.0,1198.0,86.7,4.82
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2012,70337,1,20.0,1399.0,68.0,2.8
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2013,99638,1,23.2,1248.0,73.94,3.11
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2009,52000,1,17.8,1497.0,117.3,3.25
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2011,75000,2,16.73,1995.0,218.0,13.9
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2009,95980,1,20.36,1197.0,78.9,2.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,16000,1,18.9,1197.0,82.0,5.75
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2016,18949,1,17.8,1198.0,86.7,5.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2014,107000,1,13.0,2982.0,168.5,16.5
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2018,48367,1,17.68,1968.0,174.33,39.58
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2013,57000,1,22.7,1498.0,89.84,5.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2014,58000,1,15.1,2179.0,140.0,8.1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2015,30000,1,25.8,1498.0,98.6,3.5
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2013,34212,1,22.07,1199.0,73.9,2.79
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2010,70002,1,16.2,1493.0,110.0,3.45
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,62000,1,18.9,998.0,67.1,4.45
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2010,62001,1,15.26,1598.0,103.5,2.65
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2011,78958,2,23.0,1396.0,90.0,3.8
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2014,30180,1,18.5,1197.0,82.85,4.65
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2017,32851,1,19.83,1198.0,67.0,3.95
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2010,30000,1,14.94,2967.0,241.4,9.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2009,66000,2,17.0,1197.0,80.0,2.7
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2010,93850,1,14.0,796.0,35.0,2.41
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2014,53000,1,17.71,1197.0,78.9,3.9
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2011,78000,2,14.74,2993.0,270.9,24.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2012,65000,2,16.0,2179.0,140.0,5.75
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2014,40000,1,22.32,1582.0,126.32,5.25
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2017,30000,1,11.36,2755.0,171.5,19.25
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2017,38053,1,15.1,1196.0,73.0,3.91
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2014,25500,1,25.4,624.0,37.5,2.15
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2015,56087,1,22.69,1995.0,190.0,20.75
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2010,71088,1,13.5,1799.0,130.0,3.35
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2014,55000,1,12.99,2494.0,100.6,11.11
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2014,32700,1,23.3,1984.0,150.0,20.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2016,39882,1,19.15,1198.0,75.94,6.55
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2009,128000,1,10.8,2497.0,215.0,7.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2016,55000,1,24.3,1248.0,88.5,7.5
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2014,53753,2,15.0,2143.0,107.3,16.75
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2018,10250,1,22.0,1582.0,126.2,10.95
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2011,43874,1,18.9,998.0,67.1,2.45
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2017,32684,1,21.9,624.0,37.48,3.23
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2014,42000,1,12.05,2179.0,120.0,7.75
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2009,28352,1,11.7,1796.0,178.0,9.35
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2013,89900,1,26.6,998.0,58.16,3.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2007,47700,2,10.8,2354.0,152.0,5.25
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2015,55000,1,21.21,1498.0,103.2,7.25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2017,44285,1,20.73,1373.0,91.1,7.47
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2016,54000,1,16.0,2179.0,140.0,13.25
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,30232,1,21.1,1197.0,85.8,5.81
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2014,88500,1,24.07,998.0,67.1,2.6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2017,13372,1,19.0,2996.0,362.07,54.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2019,12645,1,17.0,1591.0,121.3,11.5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2010,94385,2,19.7,796.0,46.3,1.6
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2015,31821,1,20.58,1995.0,143.0,17.22
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,12000,1,19.0,1199.0,88.7,6.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2012,88578,1,13.5,1799.0,130.0,3.95
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2014,44965,1,19.27,2143.0,170.0,17.95
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2014,45044,1,25.8,1498.0,98.6,3.7
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2016,34204,1,22.0,1197.0,81.8,5.43
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2012,91235,1,11.5,2982.0,171.0,13.49
